Model,RMSE ($),MAE ($),R2,MAPE (%),Within 10%
Ridge,1423734.086164409,817813.7002904774,-0.34731998512178897,44.36797936443183,18.80141010575793
Random Forest,950640.1217588168,665489.3405584574,0.3993171042076419,29.209818537223985,15.511163337250295
XGBoost,755854.7590377353,532507.152952409,0.6202570761380541,26.050079532018255,21.974148061104586
LightGBM p50 (tuned),826382.5839625392,562410.4489762795,0.5460842021598026,25.74668776243257,24.5593419506463
Stacking v2 (RF+XGB+LGBM-p50),719734.1055066112,503968.03325913625,0.6556840416769348,25.67203687283164,25.73443008225617
